proportion	cluster	condition
0.0138217777278346	1	FLU-OVA
0.0035680372917446	1	PBS
0.00863653068724734	1	PBS
0.00592778875516436	1	FLU-OVA
0.00986545947933706	1	FLU-OVA
0.0103990185196004	1	FLU-OVA
0.00100182149362477	1	FLU
0.00103824909672329	1	FLU
0.0020579754803777	1	FLU
0.000513679508654383	1	FLU
0.00481322031178972	1	PBS
0.237077199685358	2	FLU-OVA
0.58754639887204	2	PBS
0.703923190003675	2	PBS
0.381653793186037	2	FLU-OVA
0.284208924563472	2	FLU-OVA
0.231495004965823	2	FLU-OVA
0.263648191517044	2	FLU
0.321898749948088	2	FLU
0.631644399445337	2	FLU
0.243186301879769	2	FLU
0.695135973473808	2	PBS
0.155410720305652	3	FLU-OVA
0.269444364515294	3	PBS
0.144845644983462	3	PBS
0.231303514759595	3	FLU-OVA
0.220983756229315	3	FLU-OVA
0.162908219898347	3	FLU-OVA
0.162138953942233	3	FLU
0.138606254412559	3	FLU
0.0691457750973962	3	FLU
0.152994602642844	3	FLU
0.137872021819932	3	PBS
0.0450331497921115	4	FLU-OVA
0.0972577906943285	4	PBS
0.099595736861448	4	PBS
0.0856236153523741	4	FLU-OVA
0.0810413258771763	4	FLU-OVA
0.0588450078868961	4	FLU-OVA
0.0495446265938069	4	FLU
0.0736741559034844	4	FLU
0.0951180859727511	4	FLU
0.0426205099571934	4	FLU
0.12658769420007	4	PBS
0.165271378806607	5	FLU-OVA
0.0282277788967859	5	PBS
0.0261852260198456	5	PBS
0.125501466978025	5	FLU-OVA
0.151532443159483	5	FLU-OVA
0.172796050709821	5	FLU-OVA
0.0367030965391621	5	FLU
0.0313966526849122	5	FLU
0.0122157902845949	5	FLU
0.0213735343383585	5	FLU
0.0200016044067706	5	PBS
0.0957130014608383	6	FLU-OVA
0.00425862515466291	6	PBS
0.0040885703785373	6	PBS
0.065205676306808	6	FLU-OVA
0.0916549371679284	6	FLU-OVA
0.0954752585149267	6	FLU-OVA
0.347332812906583	6	FLU
0.283172058640309	6	FLU
0.0852904276627121	6	FLU
0.357208263539922	6	FLU
0.00366339545952884	6	PBS
0.030593325092707	7	FLU-OVA
0.00284867493453803	7	PBS
0.00248070562293275	7	PBS
0.0157475600263457	7	FLU-OVA
0.0126424975589962	7	FLU-OVA
0.0156131331424899	7	FLU-OVA
0.0082487639864689	7	FLU
0.0153868516134391	7	FLU
0.0141527083837739	7	FLU
0.0144500279173646	7	FLU
0.00516084177875231	7	PBS
0.00412967749185302	8	FLU-OVA
0.00115097977153052	8	PBS
0.00280227857405366	8	PBS
0.00922100473025567	8	FLU-OVA
0.000545263184590609	8	FLU-OVA
0.000555003797394403	8	FLU-OVA
0.00102784283112152	8	FLU
0.00149507869928153	8	FLU
0.000396187793013889	8	FLU
0.000364786897450214	8	FLU
0.00262053105864107	8	PBS
0.00213507135633217	9	FLU-OVA
0.00376945875176244	9	PBS
0.00491547225284822	9	PBS
0.00562840548470151	9	FLU-OVA
0.00243466352189295	9	FLU-OVA
0.00249751708827481	9	FLU-OVA
0.00452771272443404	9	FLU
0.00473441588105818	9	FLU
0.0019259128827064	9	FLU
0.00641727154289968	9	FLU
0.00315533331550659	9	PBS
0.0643330711315878	10	FLU-OVA
0.00103588179437746	10	PBS
0.00174568173465638	10	PBS
0.0166457098377343	10	FLU-OVA
0.0161169652933643	10	FLU-OVA
0.0459484722790209	10	FLU-OVA
0.00228987769971377	10	FLU
0.00379999169400723	10	FLU
0.00489732133031057	10	FLU
0.0030820770519263	10	FLU
0.000668502821081905	10	PBS
0.0698954938757164	11	FLU-OVA
2.87744942882629e-05	11	PBS
0	11	PBS
0.024190168253398	11	FLU-OVA
0.0385742001749914	11	FLU-OVA
0.0831775427937139	11	FLU-OVA
0.000520426749934947	11	FLU
0.000706009385771834	11	FLU
0.000627297338938657	11	FLU
0.0005285687697748	11	FLU
0	11	PBS
0.0386560287672772	12	FLU-OVA
0	12	PBS
0	12	PBS
0.00664630860427519	12	FLU-OVA
0.0205424734659718	12	FLU-OVA
0.0321025880703394	12	FLU-OVA
0.0014832162373146	12	FLU
0.00452676606171353	12	FLU
0.000869412101336033	12	FLU
0.00144425832868044	12	FLU
0	12	PBS
0.0137374985953478	13	FLU-OVA
0	13	PBS
0	13	PBS
0.00622717202562721	13	FLU-OVA
0.0146587032880638	13	FLU-OVA
0.0157883974995618	13	FLU-OVA
3.9032006245121e-05	13	FLU
0.000103824909672329	13	FLU
1.1005216472608e-05	13	FLU
8.18909361622929e-05	13	FLU
0	13	PBS
0.0581245083717272	14	FLU-OVA
0.000863234828647886	14	PBS
0.000780962881293642	14	PBS
0.0184420094605113	14	FLU-OVA
0.0492765752399792	14	FLU-OVA
0.0651107086522171	14	FLU-OVA
0.120075461878741	14	FLU
0.116450018688484	14	FLU
0.0809323619395594	14	FLU
0.153806067373907	14	FLU
0.000320881354119314	14	PBS
0.00606809753904933	15	FLU-OVA
0	15	PBS
0	15	PBS
0.00203580623914736	15	FLU-OVA
0.00592181179543754	15	FLU-OVA
0.00728807618157387	15	FLU-OVA
0.00141816289357273	15	FLU
0.00301092238049753	15	FLU
0.000715339070719521	15	FLU
0.00192815931509399	15	FLU
0	15	PBS
